"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CD16+Mono","CD16+Mono","ITGB2","ICAM1",0.111676559249095,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Cycling","CD16+Mono","ITGB2","ICAM1",0.0672181394062687,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"MAIT","CD16+Mono","ITGB2","ICAM1",0.101828420665876,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"cDC2","CD16+Mono","ITGB2","ICAM1",0.113083182490108,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"cmCD8+T","CD16+Mono","ITGB2","ICAM1",0.0305794475566321,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"ctlCD4+T","CD16+Mono","ITGB2","ICAM1",0.0179308561715619,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"gdT","CD16+Mono","ITGB2","ICAM1",0.0310424194835876,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"hCD4+T","CD16+Mono","ITGB2","ICAM1",0.0323200348293188,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD16+Mono","cDC2","ITGB2","ICAM1",0.127775526530859,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Cycling","cDC2","ITGB2","ICAM1",0.0774670125131578,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"MAIT","cDC2","ITGB2","ICAM1",0.116694204473137,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"cDC2","cDC2","ITGB2","ICAM1",0.129355396942142,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"cmCD8+T","cDC2","ITGB2","ICAM1",0.0354542854203052,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"ctlCD4+T","cDC2","ITGB2","ICAM1",0.0208326441544311,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"gdT","cDC2","ITGB2","ICAM1",0.0359883223484532,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"hCD4+T","cDC2","ITGB2","ICAM1",0.0374616266640576,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD16+Mono","pDC","ITGB2","ICAM1",0.0649808252471214,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Cycling","pDC","ITGB2","ICAM1",0.0383102668794623,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"MAIT","pDC","ITGB2","ICAM1",0.0589771358467651,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"cDC2","pDC","ITGB2","ICAM1",0.0658428862946316,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"cmCD8+T","pDC","ITGB2","ICAM1",0.0171389161762672,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"ctlCD4+T","pDC","ITGB2","ICAM1",0.00999243374896542,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"gdT","pDC","ITGB2","ICAM1",0.0174020516896304,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"hCD4+T","pDC","ITGB2","ICAM1",0.0181287728310192,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD16+Mono","Plasma_B","ITGB2","ICAM2",0.0963547972729048,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Cycling","Plasma_B","ITGB2","ICAM2",0.0576004601060073,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"MAIT","Plasma_B","ITGB2","ICAM2",0.0877243712803572,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"cDC2","Plasma_B","ITGB2","ICAM2",0.0975896361391272,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"cmCD8+T","Plasma_B","ITGB2","ICAM2",0.0260576446635584,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"ctlCD4+T","Plasma_B","ITGB2","ICAM2",0.0152499861295501,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"gdT","Plasma_B","ITGB2","ICAM2",0.0264540247982298,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"hCD4+T","Plasma_B","ITGB2","ICAM2",0.0275481642140436,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD16+Mono","MAIT","HLA-A","CD8A",0.07622482190748,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Cycling","MAIT","HLA-A","CD8A",0.0819827814456153,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"MAIT","MAIT","HLA-A","CD8A",0.0982460505676311,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK","MAIT","HLA-A","CD8A",0.0336610105849254,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma_B","MAIT","HLA-A","CD8A",0.0942549998645444,0.01,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Treg","MAIT","HLA-A","CD8A",0.0380506393554979,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"cDC2","MAIT","HLA-A","CD8A",0.0709119261453995,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"cmCD8+T","MAIT","HLA-A","CD8A",0.0837770550756733,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"ctlCD4+T","MAIT","HLA-A","CD8A",0.018653574167194,0.02,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"ctlCD8+T","MAIT","HLA-A","CD8A",0.0377211746352963,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"emCD8+T","MAIT","HLA-A","CD8A",0.0378907153553536,0.01,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"gdT","MAIT","HLA-A","CD8A",0.0952414326750244,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"hCD4+T","MAIT","HLA-A","CD8A",0.0361439117047336,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"mB_cells","MAIT","HLA-A","CD8A",0.0320098883198014,0.01,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"nCD8+T","MAIT","HLA-A","CD8A",0.031347197113734,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"pDC","MAIT","HLA-A","CD8A",0.030513603099866,0.02,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+Mono","cmCD8+T","HLA-A","CD8A",0.107945848803537,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Cycling","cmCD8+T","HLA-A","CD8A",0.115799615722622,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"MAIT","cmCD8+T","HLA-A","CD8A",0.137764561420518,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK","cmCD8+T","HLA-A","CD8A",0.0486009712958291,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma_B","cmCD8+T","HLA-A","CD8A",0.132403863660487,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Treg","cmCD8+T","HLA-A","CD8A",0.0548283327806022,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
